years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,7,2010-July,19,SE,3,3,18,16.667,33.334
2010,7,2010-July,21,S,3,2,23,8.696,13.044
2010,7,2010-July,23,E,2,1,18,5.556,27.778
2010,8,2010-August,19,NE,1,3,18,16.667,16.667
2010,9,2010-September,3,NW,3,1,24,4.167,4.167
2010,9,2010-September,9,SE,4,1,23,4.348,26.088
2010,9,2010-September,15,S,2,2,18,11.111,22.222
2010,9,2010-September,27,SE,3,5,22,22.727,50.0
2010,10,2010-October,1,S,1,5,24,20.833,20.833
2010,10,2010-October,3,SE,1,4,24,16.667,16.667
2010,10,2010-October,4,NE,1,3,24,12.5,12.5
2010,10,2010-October,5,NE,1,3,24,12.5,12.5
2010,10,2010-October,5,SE,1,2,24,8.333,8.333
2010,10,2010-October,10,NE,1,3,17,17.647,17.647
2010,10,2010-October,12,SE,2,2,24,8.333,29.166
2010,10,2010-October,14,S,1,1,17,5.882,5.882
2010,10,2010-October,23,W,1,1,17,5.882,5.882
2010,10,2010-October,25,W,3,1,21,4.762,14.286
2010,10,2010-October,30,SW,1,1,24,4.167,4.167
2010,11,2010-November,17,NE,3,3,24,12.5,45.833
2010,11,2010-November,25,E,1,2,23,8.696,8.696
2010,11,2010-November,27,N,2,1,24,4.167,4.167
2010,12,2010-December,15,E,1,1,23,4.348,4.348
2010,12,2010-December,16,W,2,1,16,6.25,6.25
2010,12,2010-December,22,NE,1,2,20,10.0,10.0
2010,1,2010-January,17,N,4,1,24,4.167,16.667
2010,3,2010-March,25,NE,3,1,24,4.167,25.001
2010,3,2010-March,25,S,3,4,24,16.667,20.834
2010,3,2010-March,27,NE,3,3,24,12.5,20.833
2010,3,2010-March,28,S,2,1,24,4.167,8.334
2010,3,2010-March,29,SE,2,4,24,16.667,16.667
2010,3,2010-March,29,SW,1,3,24,12.5,12.5
2010,3,2010-March,30,NE,1,2,24,8.333,8.333
2010,4,2010-April,3,E,3,2,24,8.333,20.833
2010,4,2010-April,4,S,4,2,24,8.333,12.5
2010,4,2010-April,5,SE,4,8,24,33.333,66.666
2010,4,2010-April,8,SW,1,1,24,4.167,4.167
2010,4,2010-April,11,SE,3,5,24,20.833,29.167
2010,4,2010-April,12,E,1,3,24,12.5,12.5
2010,4,2010-April,13,SE,3,3,24,12.5,25.0
2010,4,2010-April,16,E,2,1,24,4.167,8.334
2010,4,2010-April,19,E,2,2,24,8.333,29.166
2010,4,2010-April,28,SW,2,1,24,4.167,8.334
2010,5,2010-May,1,SE,1,1,24,4.167,4.167
2010,5,2010-May,5,SE,3,3,22,13.636,31.817
2010,5,2010-May,7,S,3,4,24,16.667,29.167
